network_code,receiver_code,stw_start_time,stalta_Z,sta_Z,stalta_N,sta_N,stalta_E,sta_E,label
PB,B086,2007-12-20T09:25:38.760000Z,5.188151175,1.32E-08,5.68329594,1.32E-08,4.525951492,1.16E-08,E
NN,WCN,2008-06-18T11:15:28.041760Z,1.260020054,8.17E-08,1.129662905,1.05E-07,1.00961172,4.86E-08,E
AZ,BZN,2013-09-19T07:13:05.730000Z,1.518906371,2.33E-07,1.821324725,2.91E-07,1.453541729,3.25E-07,E
HV,AHUD,2018-07-14T13:26:09.510000Z,6.697069686,1.61E-06,4.710274316,5.78E-06,4.946806996,4.45E-06,E
PB,B067,2014-10-23T03:08:41.220000Z,5.693422524,3.33E-08,5.835383921,2.97E-08,9.409991755,3.67E-08,E
NN,PIO,2016-09-18T06:41:17.183050Z,1.701657888,1.78E-07,4.858157585,3.66E-07,5.041548335,4.18E-07,E
PB,B045,2015-11-28T16:41:46.910000Z,43.58068218,2.56E-07,31.1578903,1.77E-07,32.61731413,2.13E-07,E
LD,FRNY,2015-03-02T00:54:26.280000Z,1.859324302,1.82E-07,1.578830004,2.09E-07,2.59738345,2.64E-07,E
PB,B082,2017-12-27T00:20:41.070000Z,26.22728703,7.58E-08,29.65468519,8.69E-08,25.38456475,7.27E-08,E
NN,RYN,2016-03-24T00:15:17.885110Z,0.735546766,1.92E-07,1.053114684,1.49E-07,1.30786793,1.62E-07,E
PB,B065,2012-11-14T16:15:27.700000Z,6.814689563,2.26E-08,6.008696972,2.09E-08,6.759446544,2.05E-08,E
PB,B082,2016-03-21T13:49:05.290000Z,3.031590132,9.38E-09,2.717582442,8.00E-09,3.382325209,8.69E-09,E
PB,B054,2015-08-19T21:09:37.590000Z,25.37433539,4.51E-07,34.55095147,5.04E-07,49.18180741,6.90E-07,E
AK,KNK,2017-04-15T11:48:37.850000Z,2.406951978,1.91E-07,3.493195588,2.25E-07,3.358822311,2.52E-07,E
SN,DOM,2012-08-05T23:01:19.334890Z,4.555708014,2.38E-08,4.215614437,2.13E-08,3.878831101,2.34E-08,E
AK,BRLK,2018-06-23T15:28:11.330000Z,1.064434542,8.18E-08,1.254889278,7.90E-08,0.942730389,7.18E-08,E
SN,TYM,2017-02-08T01:37:28.985750Z,245.6372672,2.01E-06,308.995151,3.02E-06,360.8658627,2.60E-06,E
GS,ID05,2017-10-13T04:26:43.730000Z,5.421286193,4.12E-07,3.814271619,6.20E-07,4.119040177,6.66E-07,E
PB,B084,2015-11-23T23:07:48.950000Z,23.12743186,5.93E-08,17.04370912,5.12E-08,14.61847665,4.72E-08,E
GS,KAN13,2015-01-01T05:09:39.110000Z,5.700416174,7.68E-07,6.99348757,1.20E-06,5.687436903,1.06E-06,E
PB,B086,2014-11-25T12:48:36.380000Z,2.882474077,1.30E-08,5.715177148,1.57E-08,3.010164863,1.61E-08,E
PB,B082,2011-05-13T00:20:11.690000Z,62.21994779,2.01E-07,78.62237435,2.50E-07,76.81287218,2.32E-07,E
HV,TOUO,2015-08-26T06:41:20.030000Z,1.10275023,1.33E-06,0.9574746,1.10E-06,1.450564699,1.44E-06,E
PB,B082,2012-09-28T18:25:37.960000Z,4.172186863,1.74E-08,3.941079177,1.69E-08,5.082848617,1.84E-08,E
PB,B058,2018-07-31T09:06:22.180000Z,2.508975389,1.18E-08,1.978157784,1.00E-08,3.489933012,1.18E-08,E
AZ,FRD,2008-02-23T14:46:02.880000Z,1.072584863,3.00E-07,1.282138254,4.73E-07,0.644575116,1.95E-07,E
BK,SAO,2013-02-08T14:04:57.790000Z,0.984299724,4.63E-07,1.126231369,5.30E-07,0.825395724,7.22E-07,E
PB,B081,2015-05-04T07:05:40.590000Z,13.4676426,3.78E-08,35.80691974,8.54E-08,14.22856542,3.75E-08,E
PB,B900,2016-01-08T16:26:07.100000Z,13.77394854,9.27E-08,32.54531848,1.78E-07,23.00958366,1.27E-07,E
PB,B087,2010-11-08T16:39:50.230000Z,1.521221276,6.25E-09,1.51756319,5.70E-09,1.298500793,5.65E-09,E
PB,B087,2011-06-15T10:50:43.800000Z,3.911369306,1.03E-08,3.423222203,8.48E-09,2.611865378,7.68E-09,E
IM,NV31,2016-03-12T22:08:31.303220Z,0.920251711,2.18E-07,1.027687697,2.26E-07,1.105787988,3.04E-07,E
PB,B204,2017-02-25T07:45:21.710000Z,6.324164349,2.63E-08,7.073602117,2.69E-08,5.533219788,2.48E-08,E
GS,KAN17,2017-07-13T14:54:59.130000Z,4.641482867,1.76E-06,0.865545451,4.05E-06,2.246790089,2.49E-06,E
PB,B093,2011-08-13T12:45:28.430000Z,130.4886761,3.81E-07,161.1377465,4.29E-07,149.798815,4.05E-07,E
PB,B082,2018-06-12T11:46:23.460000Z,3.089241837,8.93E-09,2.752378851,7.52E-09,2.753495716,8.58E-09,E
ON,MAN01,2015-05-09T14:58:47.140000Z,0.736002875,1.95E-07,0.696370847,1.88E-07,0.935204548,2.05E-07,E
AK,CAST,2017-12-31T01:26:51.450000Z,1.911200085,3.55E-07,1.89971411,3.95E-07,1.978901401,4.70E-07,E
PB,B081,2007-05-27T04:52:50.180000Z,3.214119078,1.03E-08,0.917632166,1.12E-08,5.255579213,1.43E-08,E
GS,KAN01,2014-09-16T12:20:02.520000Z,3.252203687,9.62E-07,1.164012802,1.83E-06,0.758814128,6.34E-06,E
PB,B093,2011-08-14T00:59:06.330000Z,9.436316798,2.81E-08,8.731155525,2.56E-08,9.409034924,2.65E-08,E
NN,RYN,2016-08-10T15:11:44.152890Z,5.66576834,3.67E-07,11.77983662,4.92E-07,11.48349097,5.58E-07,E
GS,KAN11,2015-10-08T01:32:16.180000Z,34.74383522,8.49E-06,23.50526283,1.81E-05,11.94258801,1.55E-05,E
GS,KAN09,2015-04-05T09:03:36.340000Z,3.786999125,8.40E-07,2.241235139,2.02E-06,3.450645527,1.66E-06,E
SN,HEL,2017-11-29T04:37:12.396280Z,6.201716151,1.46E-06,6.747069667,1.53E-06,10.36359099,1.58E-06,E
PB,B082,2014-08-05T06:41:08.460000Z,2.619795142,7.27E-09,2.601111204,7.59E-09,2.757644447,7.32E-09,E
PB,B081,2014-01-13T20:40:28.950000Z,4.095850513,1.67E-08,7.11788964,3.27E-08,4.954540235,1.76E-08,E
PB,B082,2017-07-18T14:45:51.610000Z,10.54787068,3.36E-08,10.66555262,3.19E-08,10.74261427,3.30E-08,E
PB,B082,2011-03-03T21:31:40.490000Z,1.616698244,6.50E-09,1.520625112,5.62E-09,1.831381871,5.72E-09,E
CI,MLAC,2017-07-10T05:35:01.730000Z,4.755429111,5.28E-07,3.083575142,6.88E-07,2.752831241,5.39E-07,E
PB,B084,2012-10-28T16:35:03.190000Z,3.652334235,9.77E-09,3.094015409,8.20E-09,1.325721596,8.70E-09,E
